family,avg_pred_sales,max,min
GROCERY I,142.01571371349644,640.7599099484117,0.0
PRODUCE,134.71227812784164,845.9868248638779,0.0
BEVERAGES,123.74110393743317,509.9645165393299,0.0
CLEANING,108.8642823626621,186.195717728111,20.70973936527348
DAIRY,103.01145674421689,200.15205458132743,9.468226223400393
BREAD/BAKERY,93.2701722409724,222.18259739685055,44.208714744235415
MEATS,85.48333834663131,185.8582454362651,42.60849091241875
BOOKS,85.16339105710304,221.83072528051207,35.517593069251696
POULTRY,84.43302836725069,192.9853278106682,36.99430079337559
PERSONAL CARE,83.50897299986377,172.47315142137631,43.26094722379498
DELI,79.02119801902205,154.9195016364491,39.72694905472548
HOME CARE,77.56602496965233,147.57213432092354,43.3666111079947
BABY CARE,75.88365960219791,221.83072528051207,35.517593069251696
EGGS,69.52698390037342,134.10164225086484,41.86527562215746
FROZEN FOODS,59.17235760962257,114.14002730799298,42.71415479661849
"LIQUOR,WINE,BEER",55.44274935146297,105.5866704011608,38.515804298610384
PREPARED FOODS,55.345444943356505,115.37000040401672,42.60849091241875
SCHOOL AND OFFICE SUPPLIES,53.43824909235944,142.03879496756173,37.70672467957644
HOME AND KITCHEN I,49.479381311619306,70.3694533057817,42.67176124442775
HOME AND KITCHEN II,49.06486571843926,70.3694533057817,42.67176124442775
GROCERY II,48.89516120449034,64.61235336168455,42.67176124442775
BEAUTY,48.73921206441419,217.07591653703548,40.43657984536925
SEAFOOD,48.52729695121456,64.51410745996353,40.4188392521006
PLAYERS AND ELECTRONICS,48.22374720237096,61.5579574266625,40.41142126962191
CELEBRATION,47.982406807582194,59.273150311893176,42.47097774202427
LAWN AND GARDEN,47.97480114590296,60.23820585120485,37.76087337160609
PET SUPPLIES,47.96872720028672,60.92147579536099,37.69930669709777
AUTOMOTIVE,47.90274254177266,64.07797958514217,40.43657984536925
LADIESWEAR,47.737531280663724,60.23820585120485,37.76087337160609
LINGERIE,47.73528883887984,61.86818569934731,40.007131668172015
MAGAZINES,47.50189126528379,59.60172421990334,40.51708515382165
HARDWARE,47.107093466841896,54.67679756023455,38.18433609537358
HOME APPLIANCES,46.403792563801495,53.44961731641944,37.71847981941535
