date,store_nbr,family,predicted_sales
2017-08-16,1,AUTOMOTIVE,48.47548964524609
2017-08-17,1,AUTOMOTIVE,46.15971456708466
2017-08-18,1,AUTOMOTIVE,50.938013490402355
2017-08-19,1,AUTOMOTIVE,46.889799197060526
2017-08-20,1,AUTOMOTIVE,45.34340889779902
2017-08-16,1,BABY CARE,221.83072528051207
2017-08-17,1,BABY CARE,64.87549039312509
2017-08-18,1,BABY CARE,52.49986356024017
2017-08-19,1,BABY CARE,47.85009322920402
2017-08-20,1,BABY CARE,47.0152651538647
2017-08-16,1,BEAUTY,48.47548964524609
2017-08-17,1,BEAUTY,46.15971456708466
2017-08-18,1,BEAUTY,50.938013490402355
2017-08-19,1,BEAUTY,46.889799197060526
2017-08-20,1,BEAUTY,45.34340889779902
2017-08-16,1,BEVERAGES,186.37105227082003
2017-08-17,1,BEVERAGES,113.07161572990314
2017-08-18,1,BEVERAGES,119.3117800018679
2017-08-19,1,BEVERAGES,111.13387407924168
2017-08-20,1,BEVERAGES,106.39474621891502
2017-08-16,1,BOOKS,221.83072528051207
2017-08-17,1,BOOKS,64.87549039312509
2017-08-18,1,BOOKS,52.46976823733557
2017-08-19,1,BOOKS,47.81999790629942
2017-08-20,1,BOOKS,46.9851698309601
2017-08-16,1,BREAD/BAKERY,120.64336029127621
2017-08-17,1,BREAD/BAKERY,84.34915346043508
2017-08-18,1,BREAD/BAKERY,88.87691872714451
2017-08-19,1,BREAD/BAKERY,72.98789472940666
2017-08-20,1,BREAD/BAKERY,47.25866098254623
2017-08-16,1,CELEBRATION,48.47548964524609
2017-08-17,1,CELEBRATION,46.15971456708466
2017-08-18,1,CELEBRATION,50.938013490402355
2017-08-19,1,CELEBRATION,46.859703874155926
2017-08-20,1,CELEBRATION,45.85419290865754
2017-08-16,1,CLEANING,154.87623666480363
2017-08-17,1,CLEANING,94.31386930867475
2017-08-18,1,CLEANING,94.02421747566633
2017-08-19,1,CLEANING,83.39359496733721
2017-08-20,1,CLEANING,45.026532764791
2017-08-16,1,DAIRY,151.59919067399989
2017-08-17,1,DAIRY,93.53628984075281
2017-08-18,1,DAIRY,97.43967146305403
2017-08-19,1,DAIRY,82.61601549941527
2017-08-20,1,DAIRY,60.38240027987261
2017-08-16,1,DELI,56.635641438450016
2017-08-17,1,DELI,51.76848453977512
2017-08-18,1,DELI,60.32294017171247
2017-08-19,1,DELI,56.384732064598516
2017-08-20,1,DELI,49.832692686220376
2017-08-16,1,EGGS,70.63030659845131
2017-08-17,1,EGGS,51.76848453977512
2017-08-18,1,EGGS,60.32294017171247
2017-08-19,1,EGGS,56.384732064598516
2017-08-20,1,EGGS,58.33396029265483
2017-08-16,1,FROZEN FOODS,56.67204953721101
2017-08-17,1,FROZEN FOODS,52.746847510100544
2017-08-18,1,FROZEN FOODS,52.80003553560345
2017-08-19,1,FROZEN FOODS,48.861827428489484
2017-08-20,1,FROZEN FOODS,46.91478743362344
2017-08-16,1,GROCERY I,227.24973434051677
2017-08-17,1,GROCERY I,137.2251123086433
2017-08-18,1,GROCERY I,123.9119302442954
2017-08-19,1,GROCERY I,113.28412266252496
2017-08-20,1,GROCERY I,96.43270872120222
2017-08-16,1,GROCERY II,48.511897744007086
2017-08-17,1,GROCERY II,46.360498069488145
2017-08-18,1,GROCERY II,51.71025770759556
2017-08-19,1,GROCERY II,47.06048737655941
2017-08-20,1,GROCERY II,46.073741413836856
2017-08-16,1,HARDWARE,48.511897744007086
2017-08-17,1,HARDWARE,46.360498069488145
2017-08-18,1,HARDWARE,51.13879699280584
